Date,Open,High,Low,Close,Adj Close,Volume
2006-12-26,16.170000,16.242500,16.155001,16.240000,13.153846,870400
2006-12-27,16.267500,16.337500,16.257500,16.337500,13.232820,653600
2006-12-28,16.287500,16.340000,16.277500,16.309999,13.210546,768400
2006-12-29,16.287500,16.332500,16.215000,16.230000,13.145752,670800
2007-01-03,16.375000,16.375000,16.094999,16.192499,13.115374,2168400
2007-01-04,16.187500,16.299999,16.117500,16.237499,13.151825,7870800
2007-01-05,16.225000,16.232500,16.120001,16.177500,13.103230,1294800
2007-01-08,16.212500,16.252501,16.132500,16.200001,13.121448,4587600
2007-01-09,16.250000,16.275000,16.147499,16.215000,13.133597,1085600
2007-01-10,16.170000,16.267500,16.125000,16.254999,13.165996,832400
2007-01-11,16.250000,16.417500,16.250000,16.367500,13.257117,1319200
2007-01-12,16.352501,16.467501,16.352501,16.467501,13.338119,1323200
2007-01-16,16.467501,16.485001,16.400000,16.440001,13.315839,3125600
2007-01-17,16.410000,16.500000,16.410000,16.450001,13.323944,2224400
2007-01-18,16.475000,16.475000,16.327499,16.360001,13.251050,3342800
2007-01-19,16.320000,16.427500,16.320000,16.412500,13.293573,3542400
2007-01-22,16.445000,16.445000,16.275000,16.330000,13.226748,1036400
2007-01-23,16.325001,16.389999,16.295000,16.355000,13.246994,2463200
2007-01-24,16.424999,16.512501,16.362499,16.497499,13.362415,2140800
2007-01-25,16.525000,16.525000,16.287500,16.312500,13.212573,1206800
2007-01-26,16.362499,16.362499,16.217501,16.275000,13.182199,927200
2007-01-29,16.312500,16.330000,16.230000,16.270000,13.178151,1331200
2007-01-30,16.275000,16.340000,16.257500,16.337500,13.232820,1342800
2007-01-31,16.325001,16.475000,16.292500,16.450001,13.323944,1188400
2007-02-01,16.500000,16.545000,16.442499,16.520000,13.380639,1164400
2007-02-02,16.559999,16.570000,16.500000,16.562500,13.415065,1189600
2007-02-05,16.555000,16.565001,16.500000,16.537500,13.394811,1037200
2007-02-06,16.580000,16.580000,16.459999,16.530001,13.388739,1634000
2007-02-07,16.594999,16.607500,16.512501,16.547501,13.402917,1818400
2007-02-08,16.545000,16.587500,16.485001,16.547501,13.402917,764400
2007-02-09,16.562500,16.592501,16.387501,16.440001,13.315839,1056400
2007-02-12,16.445000,16.447500,16.340000,16.365000,13.255095,844800
2007-02-13,16.424999,16.475000,16.405001,16.459999,13.332040,1835600
2007-02-14,16.512501,16.625000,16.492500,16.592501,13.439364,718800
2007-02-15,16.610001,16.645000,16.577499,16.625000,13.465681,1754400
2007-02-16,16.562500,16.620001,16.562500,16.600000,13.445437,1529200
2007-02-20,16.580000,16.665001,16.530001,16.660000,13.494036,1027600
2007-02-21,16.605000,16.657499,16.580000,16.639999,13.477834,2268400
2007-02-22,16.677500,16.687500,16.555000,16.632500,13.471763,1658400
2007-02-23,16.620001,16.642500,16.557501,16.602501,13.447461,1067200
2007-02-26,16.632500,16.645000,16.497499,16.562500,13.415065,868400
2007-02-27,16.430000,16.430000,15.852500,15.930000,12.902758,2408000
2007-02-28,16.025000,16.197500,15.980000,16.075001,13.020205,1925600
2007-03-01,15.850000,16.084999,15.730000,16.020000,12.975656,2286800
2007-03-02,15.875000,16.022499,15.812500,15.812500,12.807588,2978400
2007-03-05,15.742500,15.912500,15.690000,15.690000,12.708365,1296400
2007-03-06,15.855000,15.980000,15.732500,15.960000,12.927060,1264000
2007-03-07,15.955000,16.040001,15.912500,15.940000,12.910859,920800
2007-03-08,16.055000,16.097500,15.977500,16.027500,12.981733,1102000
2007-03-09,16.102501,16.117500,15.955000,16.012501,12.969581,1177600
2007-03-12,15.997500,16.084999,15.965000,16.045000,12.995905,1113200
2007-03-13,15.957500,16.037500,15.737500,15.740000,12.748867,1045200
2007-03-14,15.777500,15.887500,15.610000,15.862500,12.848085,2606800
2007-03-15,15.870000,15.937500,15.835000,15.907500,12.884535,1150800
2007-03-16,15.900000,15.962500,15.810000,15.850000,12.837962,788800
2007-03-19,15.930000,16.040001,15.917500,16.017500,12.973633,1154000
2007-03-20,16.020000,16.125000,16.010000,16.112499,13.050578,906800
2007-03-21,16.162500,16.389999,16.100000,16.370001,13.259142,914800
2007-03-22,16.412500,16.422501,16.315001,16.395000,13.279391,722400
2007-03-23,16.387501,16.427500,16.357500,16.395000,13.279391,870400
2007-03-26,16.312500,16.362499,16.187500,16.320000,13.261314,1286400
2007-03-27,16.295000,16.317499,16.219999,16.257500,13.210529,1228400
2007-03-28,16.202499,16.232500,16.112499,16.147499,13.121140,1288400
2007-03-29,16.250000,16.250000,16.080000,16.174999,13.143492,1375200
2007-03-30,16.187500,16.245001,16.032499,16.157499,13.129270,852000
2007-04-02,16.200001,16.235001,16.120001,16.187500,13.153644,2143200
2007-04-03,16.337500,16.415001,16.275000,16.375000,13.306008,1379200
2007-04-04,16.379999,16.450001,16.355000,16.420000,13.342573,2188000
2007-04-05,16.375000,16.487499,16.375000,16.480000,13.391330,1052800
2007-04-09,16.517500,16.520000,16.455000,16.469999,13.383201,1197200
2007-04-10,16.485001,16.527500,16.462500,16.522499,13.425862,1501200
2007-04-11,16.530001,16.530001,16.379999,16.442499,13.360855,1944400
2007-04-12,16.450001,16.542500,16.334999,16.532499,13.433986,1102400
2007-04-13,16.562500,16.602501,16.482500,16.584999,13.476645,754400
2007-04-16,16.672501,16.764999,16.660000,16.764999,13.622914,2050000
2007-04-17,16.762501,16.855000,16.762501,16.817499,13.665575,2690000
2007-04-18,16.740000,16.830000,16.735001,16.799999,13.651353,1606800
2007-04-19,16.709999,16.802500,16.700001,16.785000,13.639163,1132800
2007-04-20,16.862499,16.942499,16.844999,16.920000,13.748863,859600
2007-04-23,16.937500,16.959999,16.875000,16.875000,13.712296,797200
2007-04-24,16.937500,16.937500,16.812500,16.875000,13.712296,1099200
2007-04-25,17.000000,17.067499,16.910000,17.052500,13.856525,937200
2007-04-26,17.067499,17.092501,17.020000,17.084999,13.882940,2171200
2007-04-27,17.035000,17.094999,16.995001,17.067499,13.868715,1166400
2007-04-30,17.092501,17.092501,16.917500,16.942499,13.767143,925600
2007-05-01,16.937500,16.969999,16.837500,16.967501,13.787461,1532000
2007-05-02,16.990000,17.102501,16.982500,17.065001,13.866682,4243200
2007-05-03,17.162500,17.162500,17.070000,17.137501,13.925599,1846000
2007-05-04,17.187500,17.242500,17.115000,17.167500,13.949973,898000
2007-05-07,17.125000,17.205000,17.125000,17.174999,13.956072,1977200
2007-05-08,17.137501,17.190001,17.087500,17.182501,13.962169,826000
2007-05-09,17.162500,17.235001,17.115000,17.215000,13.988573,1338400
2007-05-10,17.172501,17.180000,16.982500,16.997499,13.811833,2329200
2007-05-11,16.975000,17.135000,16.975000,17.127501,13.917476,1105200
2007-05-14,17.120001,17.187500,17.037500,17.125000,13.915440,4310400
2007-05-15,17.115000,17.205000,17.022499,17.055000,13.858562,1391600
2007-05-16,17.122499,17.195000,17.045000,17.195000,13.972327,1322000
2007-05-17,17.167500,17.242500,17.142500,17.195000,13.972327,1874000
2007-05-18,17.247499,17.342501,17.230000,17.322500,14.075930,1576000
2007-05-21,17.375000,17.402500,17.315001,17.342501,14.092178,2038000
2007-05-22,17.365000,17.387501,17.290001,17.290001,14.049519,1019200
2007-05-23,17.362499,17.430000,17.295000,17.305000,14.061712,920400
2007-05-24,17.320000,17.397499,17.117500,17.155001,13.939820,1526000
2007-05-25,17.250000,17.257500,17.177500,17.252501,14.019039,706400
2007-05-29,17.250000,17.312500,17.200001,17.277500,14.039354,1861600
2007-05-30,17.172501,17.415001,17.172501,17.415001,14.151091,783200
2007-05-31,17.475000,17.490000,17.407499,17.442499,14.173435,1394800
2007-06-01,17.532499,17.557501,17.472500,17.514999,14.232344,1159600
2007-06-04,17.445000,17.590000,17.445000,17.565001,14.272983,942400
2007-06-05,17.535000,17.540001,17.434999,17.504999,14.224218,2706000
2007-06-06,17.422501,17.434999,17.309999,17.340000,14.090147,824400
2007-06-07,17.362499,17.362499,17.042500,17.049999,13.854501,1772000
2007-06-08,17.027500,17.225000,17.010000,17.219999,13.992637,1655200
2007-06-11,17.225000,17.307501,17.174999,17.254999,14.021073,1078000
2007-06-12,17.139999,17.264999,17.065001,17.065001,13.866682,1179600
2007-06-13,17.160000,17.299999,17.112499,17.299999,14.057641,1278400
2007-06-14,17.337500,17.430000,17.307501,17.389999,14.130774,1054400
2007-06-15,17.540001,17.567499,17.502501,17.522499,14.238442,717600
2007-06-18,17.552500,17.575001,17.480000,17.497499,14.218129,799600
2007-06-19,17.462500,17.542500,17.430000,17.527500,14.242504,1392400
2007-06-20,17.549999,17.565001,17.292500,17.295000,14.053574,1326800
2007-06-21,17.350000,17.420000,17.235001,17.402500,14.140928,1613600
2007-06-22,17.350000,17.377501,17.174999,17.235001,14.004820,892000
